NOMBRE Y APELLIDO,EQUIPO,GOLES
RONNY DE SOUZA,Chelsea,5
MAURICIO MENDEZ,Manchester City,5
JUAN DIEGO RIVERA,Manchester City,4
DIEGO PRADA,Holanda,4
RODRIGO HARO,Manchester City,4
WALTER HEIN,Barcelona,3
DANIEL TELLO,Milan,3
JOSE CAMILO MORENO,Milan,3
MAURICIO,Juventus,2
FRANCISCO PARDO,Real Madrid,2
EDUARDO LULLI,Juventus,2
JOAQUIN LLOSA,Chelsea,2
ANTONIO DIAZ,Bayern Munich,2
ALONSO PALACIOS,Holanda,2
LUIS SEMINARIO,Real Madrid,2
DIEGO LOPEZ DE ROMAÑA,Barcelona,2
JORFI PEREZ PALMA,Milan,2
GABRIEL GARCIA,Manchester City,2
JOSE ARTEAGA,Borussia Dortmund,2
WILL WHILEM,Manchester City,2
ERICK,Bayern Munich,1
JOSE CAYO,Juventus,1
LUIS SANABRIA,Chelsea,1
GALARRETA,Chelsea,1
PEPE P,Real Madrid,1
PEDRO PABLO TOMATIS,Real Madrid,1
ALEJANDRO BORASINO,Real Madrid,1
NEIL ARREDONDO,Barcelona,1
SALVADOR LARCO,Barcelona,1
LUCHO,Milan,1
JORGE ALLENDE,Borussia Dortmund,1
CARLOS MORALES,Borussia Dortmund,1
PAUL CUBA,Borussia Dortmund,1
MARTIN KLINBERGER,Borussia Dortmund,1
EDUARDO LULLI,Barcelona,1
CESAR URRUNAGA,Chelsea,1
JOAQUIN ARAMBURU,Juventus,1
HUGO DELGADO,Juventus,1
GUSTAVO DULANTO,Holanda,1
GIACOMO FIGARI,Barcelona,1
CARLOS MORALES,Borussia Dortmund,1
CARLOS ZAMBRANO,Holanda,1
CARLOS JAIME,Chelsea,1
MAURICIO CHAVEZ,Juventus,1
SANDRO OMIRFE,Borussia Dortmund,1
LUIS ALFARO,Manchester City,1
